product_id,discounted_price,actual_price,discount_percentage,rating,rating_count,user_id,user_name,review_id,review_title,review_content
B07JW9H4J1,399.0,1099.0,64.0,4.2,24269.0,AG3D6O4STAQKAY2UVGEUV46KN35Q,Manav,R3HXWT0LRP0NMF,Satisfied,Looks durable Charging is fine tooNo complains
B07JW9H4J1,399.0,1099.0,64.0,4.2,24269.0,AHMY5CWJMMK5BJRBBSNLYT3ONILA,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,Charging is really fast
B07JW9H4J1,399.0,1099.0,64.0,4.2,24269.0,AHCTC6ULH4XB6YHDY6PCH2R772LQ,Sundeep,R6AQJGUP6P86,Value for money,good product.
B07JW9H4J1,399.0,1099.0,64.0,4.2,24269.0,AGYHHIERNXKA6P5T7CZLXKVPT7IQ,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,Till now satisfied with the quality.
B07JW9H4J1,399.0,1099.0,64.0,4.2,24269.0,AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,jaspreet singh,R3C02RMYQMK6FC,Good quality,This is a good product . The charging speed is slower than the original iPhone cable
B07JW9H4J1,399.0,1099.0,64.0,4.2,24269.0,AENGU523SXMOS7JPDTW52PNNVWGQ,Khaja moin,R39GQRVBUZBWGY,Good product,Good quality
B07JW9H4J1,399.0,1099.0,64.0,4.2,24269.0,AEQJHCVTNINBS4FKTBGQRQTGTE5Q,Anand,R2K9EDOE15QIRJ,Good Product,would recommend
B07JW9H4J1,399.0,1099.0,64.0,4.2,24269.0,AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,As of now seems good
B098NS6PVG,199.0,349.0,43.0,4.0,43994.0,AECPFYFQVRUWC3KGNLJIOREFP5LQ,ArdKn,RGIQEG07R9HS2,A Good Braided Cable for Your Type C Device,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.
B098NS6PVG,199.0,349.0,43.0,4.0,43994.0,AGYYVPDD7YG7FYNBXNGXZJT525AQ,Nirbhay kumar,R1SMWZQ86XIN8U,Good quality product from ambrane,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging
B098NS6PVG,199.0,349.0,43.0,4.0,43994.0,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,Asp,RYGGS0M09S3KY,As,with extra length👍
B098NS6PVG,199.0,349.0,43.0,4.0,43994.0,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,sonia,R1HDNOG6TO2CCA,its good,Product quality is good
B096MSW6CT,199.0,1899.0,90.0,3.9,7928.0,AESFLDV2PT363T2AQLWQOWZ4N3OA,Himanshu,R3E7WBGK7ID0KV,Good Product,Good Product
B096MSW6CT,199.0,1899.0,90.0,3.9,7928.0,AEUVWXYP5LT7PZLLZENEO2NODPBQ,sai niharka,R25X4TBMPY91LX,Good for the price,Good for the price
B096MSW6CT,199.0,1899.0,90.0,3.9,7928.0,AHC7MPW55DOO6WNCOQVA2VHOD26A,saqib malik,R27OK7G99VK0TR,Good,Product
B096MSW6CT,199.0,1899.0,90.0,3.9,7928.0,AHKUUFNMBZIDLSSPA4FEHIO2EC7Q,Sanjay gupta,R1IMONDOWRNU5V,it's a really nice product,It's a really nice product
B08HDJ86NZ,329.0,699.0,53.0,4.2,94363.0,AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,Omkar dhale,R3EEUZKKK9J36I,Good product,Good product
B08HDJ86NZ,329.0,699.0,53.0,4.2,94363.0,AH725ST5NW2Y4JZPKUNTIJCUK2BA,HEMALATHA,REDECAZ7AMPQC,Nice,Charges good
B08HDJ86NZ,329.0,699.0,53.0,4.2,94363.0,AGWIGDEMFIIUAOXYY2QATNBSUGHA,amar singh chouhan,R2DMKIBGFKBD6R,Very first time change,I bought this cable for Rs.339 worthy product for this price
B08HDJ86NZ,329.0,699.0,53.0,4.2,94363.0,AFSTSLQUV4EVEXWKBOLEFHL2H5YQ,Ravi Siddan,RC89B5IAJUTR5,Good,i tested it in various charger adapters 33w and 18w it supports fast charging as well.
B08CF3B7N1,154.0,399.0,61.0,4.2,16905.0,AE3Q6KSUK5P75D5HFYHCRAOLODSA,rahuls6099,R1BP4L2HH9TFUP,As good as original,Bought this instead of original apple
B08CF3B7N1,154.0,399.0,61.0,4.2,16905.0,AFUGIFH5ZAFXRDSZHM4QB2KPKFUQ,Swasat Borah,R16PVJEXKV6QZS,Decent,does the work for 150rs
B08CF3B7N1,154.0,399.0,61.0,4.2,16905.0,AFK4NJOLFSJGWLOJIUIAROJF6YVA,Ajay Wadke,R2UPDB81N66T4P,Good one for secondary use,not as fast as apple charger but its a good option if you want cheap and good product
B08CF3B7N1,154.0,399.0,61.0,4.2,16905.0,AFUOTYRFUXVPEBGIXVZZ7DR3CZUA,Pranali,R3KK4GT934ST3I,Best quality,bought it for iPad pro 10.5 and it's working flawlessly
B08CF3B7N1,154.0,399.0,61.0,4.2,16905.0,AFDLRSXKDZ6U3U3KD46SQLFGZQRA,RVK,RCFHMWUSBIJO,GOOD,build quality is ok
B08CF3B7N1,154.0,399.0,61.0,4.2,16905.0,AH5VLM66SIK7J3IRG4NY7XVOQ55A,Bhargav,RDO7DACXMAJ84,Amazing product at a mind blowing price!,its not like i am gonna hang my clothes on it and i want a very strong cable
